Date,ticker,Company_Name,Sector,Open,High,Low,Close,Volume,Dividend,Stock_Split,Daily_Return,Volatility_20D,MA_50,MA_200,Market_Cap,PE_Ratio,Forward_PE,PEG_Ratio,Price_to_Book,Dividend_Yield,EPS,Beta,52Week_High,52Week_Low,nifty_ret_proxy,target_label,news_sync_date,rsi,macd_diff,bb_width,sma_20,dist_from_sma,vol_delta,en_sentiment,hi_sentiment,source_conf,price_10am,sector_en_sentiment,sector_hi_sentiment
2023-01-02,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,646.4678549729252,650.8990893177511,638.5654630170009,645.3600463867188,5793400,0.0,,-0.0032621980103099,0.010011088102874,668.6243701171875,657.7329586791992,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.0031460837211128,0.0047084837086252,2023-01-02 00:00:00+05:30,0.4272111771348077,0.6718064963180722,0.0030384409217481,645.9921936035156,0.0499284982434685,0.0005401194644241,0.0,0.0,1.0,645.3600463867188,0.0,0.0
2023-01-02,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecom,791.4988568756722,801.266823744217,790.860725302746,798.6162109375,1626846,0.0,,0.0091799740927946,0.0116636546775417,812.5210717773438,731.8443655395508,11992280596480,30.674664,28.740782,,9.685005,0.81,64.18,0.061,2174.5,1559.5,0.0031460837211128,0.0017377784247398,2023-01-02 00:00:00+05:30,0.4347384899122882,0.6019137481411712,0.0031988014632763,807.8515991210937,0.0493098679998161,0.0007406436773169,0.0,0.0,1.0,798.6162109375,0.0,0.0
2023-01-02,BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,142.90905004574014,144.9224740611351,141.82656969934348,144.55442810058594,4405586,0.0,,0.0101361012652612,0.0142762831364556,139.53302673339843,141.79600189208983,1581385383936,6.3292236,7.9754972,,1.6580391,4.8,57.59,0.981,388.15,234.01,0.0031460837211128,0.0056840631744627,2023-01-02 00:00:00+05:30,0.5196107113505481,0.6240081858821429,0.0063731141160627,145.21041870117188,0.0497190652298935,0.0014870325203103,0.0,0.0,1.0,144.55442810058594,0.0,0.0
2023-01-02,HDFCBANK.NS,HDFC Bank Ltd.,Financials,782.8599557722763,788.9948447926183,778.7941116415499,783.6779174804688,4381378,0.0,,0.0003378145966601,0.0083712118353372,763.2937255859375,699.4693472290039,14299313471488,20.746819,16.417845,,2.5314577,1.18,44.79,0.463,1020.5,830.55,0.0031460837211128,0.0032368319411379,2023-01-02 00:00:00+05:30,0.5237283373039795,0.6051226555459166,0.0020574730440504,784.1073669433594,0.0499539972225351,0.0008718577353184,0.0,0.0,1.0,783.6779174804688,0.0,0.0
2023-01-02,ICICIBANK.NS,ICICI Bank Ltd.,Financials,872.4014740958874,885.0874015715547,872.4014740958874,880.6473388671875,4315403,0.0,,0.0130213573457729,0.0106554925543808,893.6748205566406,795.5226171875,9692259549184,18.483154,17.04474,,2.778712,0.81,73.31,0.203,1500.0,1200.1,0.0031460837211128,-0.0045210483628364,2023-01-02 00:00:00+05:30,0.450124205606412,0.6214584587772645,0.0042574976192924,886.7707489013671,0.0495777581577353,0.0006313053960184,0.0,0.0,1.0,880.6473388671875,0.0,0.0
2023-01-02,INFY.NS,Infosys Ltd.,IT,1388.5308744976214,1399.9949669224698,1379.4055017090532,1397.7021484375,3801140,0.0,,0.0104760552414737,0.0126202997178803,1429.0462744140625,1402.7025665283204,6638977679360,23.14854,21.512964,,7.8130875,2.74,70.89,0.263,1924.0,1307.0,0.0031460837211128,-0.0042535865773234,2023-01-02 00:00:00+05:30,0.4324105144348985,0.5969789658340011,0.0063949636367894,1411.9084533691407,0.0493909592455509,0.0010646149397056,0.0,0.0,1.0,1397.7021484375,0.0,0.0
2023-01-02,ITC.NS,ITC Ltd.,FMCG,286.64053309824595,289.32587387823986,285.55772686897444,288.3297119140625,6181118,0.0,,0.0039210135874845,0.011095479119879,296.5244024658203,261.420643157959,4036291198976,19.800245,18.839676,,5.6809564,4.45,16.27,-0.109,471.5,316.45,0.0031460837211128,-0.0085597708732201,2023-01-02 00:00:00+05:30,0.4146951754212691,0.6336150497234158,0.0034101474755214,292.0199279785156,0.0492385669494327,0.00121200753465,0.0,0.0,1.0,288.3297119140625,0.0,0.0
2023-01-02,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financials,364.43917064098287,365.4759904629058,362.1761415376026,363.890869140625,5625005,0.0,,-0.0012040189808474,0.0069670655739721,377.10063598632814,364.4323776245117,4057761054720,21.59873,18.899355,,2.4141583,0.12,18.89,0.175,460.38,374.32,0.0031460837211128,0.0009717664426809,2023-01-02 00:00:00+05:30,0.3488029562258946,0.6335522863996339,0.0046582370403335,369.228450012207,0.0491309092020994,0.0005921650476977,0.0,0.0,1.0,363.890869140625,0.0,0.0
2023-01-02,NTPC.NS,NTPC Ltd.,Power,151.2566244736954,152.61481024182285,150.6680690177988,152.11680603027344,7322962,0.0,,0.0093122013244915,0.0103694176472753,154.3487661743164,141.58456550598146,3452013379584,19.690266,13.160638,,1.7959752,3.12,18.08,0.224,371.45,292.8,0.0031460837211128,-0.0056829939344356,2023-01-02 00:00:00+05:30,0.4640143022137054,0.6360951665145859,0.0042475770363259,152.78685150146484,0.0497268784376364,0.0012032020747135,0.0,0.0,1.0,152.11680603027344,0.0,0.0
2023-01-02,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,126.25394632565153,129.2538703106124,126.21108765299738,128.95387268066406,9631496,0.0,,0.025213075009864,0.0140061639357012,118.2918975830078,117.2412031173706,3383591698432,9.242611,7.2009454,,0.91924167,6.79,29.1,0.162,277.77,205.0,0.0031460837211128,-0.0092841901770938,2023-01-02 00:00:00+05:30,0.6661474749805533,0.6397567788162084,0.0047185065758522,123.61615028381348,0.0525417660686726,0.0014153619070629,0.0,0.0,1.0,128.95387268066406,0.0,0.0
