Date,Ticker,Company_Name,Sector,Open,High,Low,Close,Volume,Dividend,Stock_Split,Daily_Return,Volatility_20D,MA_50,MA_200,Market_Cap,PE_Ratio,Forward_PE,PEG_Ratio,Price_to_Book,Dividend_Yield,EPS,Beta,52Week_High,52Week_Low,nifty_ret_proxy,target_label,news_sync_date,rsi,macd_diff,bb_width,sma_20,dist_from_sma,vol_delta,en_sentiment,hi_sentiment,source_conf
2025-01-29 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,761.029046289582,773.924511450252,752.2532413343686,771.206298828125,15149200,0.0,,0.0201207405905141,0.0229757328178043,700.2381762695312,696.6843365478516,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.013088861065244154,0.013037916702658242,2025-01-29 00:00:00+05:30,0.6461291497049961,0.6934302134916331,0.004707387071612852,731.4779052734375,0.053200592042954624,0.0008661653503624947,0.0,0.0,1.0
2025-01-30 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,780.1858499375447,820.0051467305362,780.1858499375447,785.3191528320312,56488830,0.0,,0.0182997130927888,0.0185306865124008,702.8348522949219,697.0359246826172,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.005261796390130557,-0.01621539769372738,2025-01-30 00:00:00+05:30,0.6769618578295806,0.7265433192816587,0.006290889496399346,734.0244415283203,0.05412195515607013,0.00528504606093952,0.0,0.0,1.0
2025-01-31 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,787.6398372375212,793.1707112024116,774.3219911195768,783.67431640625,18335460,0.0,,-0.0020944814854567,0.018572294325261,705.6563415527344,697.379634399414,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.014120916208270681,0.0159940259687752,2025-01-31 00:00:00+05:30,0.6691525882704601,0.7384700315557132,0.007373271421717377,736.399038696289,0.05378560485352945,0.0004600500968775334,0.0,0.0,1.0
2025-02-01 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,783.1674643353156,806.0214389778673,773.666094986311,795.1038208007812,16153780,0.0,,0.0145845080733848,0.0185424900390898,708.2724975585937,697.8562911987304,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.001409517895390402,0.0573547638629252,2025-02-01 00:00:00+05:30,0.6939359889528223,0.7527737107027872,0.008625199894840839,739.6328338623047,0.0544247484241617,0.0012487003977306001,0.0,0.0,1.0
2025-02-03 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,787.3615168082749,838.754416306181,787.2472317754509,837.4127197265625,43369260,0.0,,0.0532117917420773,0.0214738043917004,711.7319519042969,698.6048159790039,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0041429721208479,-0.00727002283430514,2025-02-03 00:00:00+05:30,0.7643562371602755,0.8065471375896753,0.011411037231535501,744.9592163085938,0.05733089933938606,0.003805254815589191,0.0,0.0,1.0
2025-02-04 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,837.3332458712231,843.7933836731969,825.2080520184254,842.3373413085938,19663000,0.0,,0.0058807580372546,0.0214159782790384,715.4239697265625,699.4081497192383,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.01315078087155974,0.004044869310279018,2025-02-04 00:00:00+05:30,0.7709661865611522,0.8346569800281459,0.01353419367492184,750.524624633789,0.05722591080647461,0.0006426043534650853,0.0,0.0,1.0
2025-02-05 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,844.7872285257307,853.6028268693608,839.3706394577197,845.7264404296875,18674930,0.0,,0.0040234463734312,0.021017765206204,719.0103405761719,700.1165347290039,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-2.142293684781858e-05,0.0035660630120615774,2025-02-05 00:00:00+05:30,0.7756312379102281,0.8428233637699611,0.015084865249190504,756.6468475341796,0.05695356903117998,0.0013461240998774294,0.0,0.0,1.0
2025-02-06 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,848.1912361513441,860.9674422619393,841.0105687686752,845.5127563476562,17094730,0.0,,-0.0002526633575777,0.0210494689398409,722.9816357421874,700.7384597778321,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0038187263696392772,-0.006929964587580691,2025-02-06 00:00:00+05:30,0.7744992414689729,0.8330482545362662,0.016175913739249072,762.705712890625,0.0564115264474639,0.0012974157309078567,0.0,0.0,1.0
2025-02-07 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,853.2351203824257,853.2351203824257,833.2484625229857,842.22802734375,9665400,0.0,,-0.0038848958566813,0.0203011560682172,726.7550512695312,701.3599319458008,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.003045068730899391,-0.012316934724710953,2025-02-07 00:00:00+05:30,0.7562028136642222,0.8082206285671085,0.016548297162609638,769.2816375732422,0.05559804162198071,0.000801370741930842,0.0,0.0,1.0
2025-02-10 00:00:00+05:30,BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,842.6802260548585,843.5945670019648,816.9589350238671,823.5979614257812,12438380,0.0,,-0.0221199785724597,0.0209980419389545,730.0072827148438,701.8540130615235,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.009803043847748747,0.0036420155802829694,2025-02-10 00:00:00+05:30,0.6600355445026479,0.7554991995228135,0.01660470141505251,774.0114532470703,0.053777698487299005,0.001823979214417678,0.0,0.0,1.0
