datePublished,timestamp,timestamp_filled,trading_date,company,symbol,headline,description,articleBody,tags,author,url,source,language
2025-11-22,2025-11-22 16:53,2025-11-22 16:53,2025-11-25,Kotak Mahindra Bank,KOTAKBANK,"उदय कोटक ने 30 लाख रुपये से की थी शुरुआत, आज कोटक महिंद्रा बैंक देश का चौथा सबसे बड़ा प्राइवेट बैंक है","उदय कोटक को पहली बार बैंक का आइडिया कुछ सप्लायर्स के संघर्ष को देखने के बाद आया। उन्होंने देखा कि छोटे सप्लायर्स को पूंजी जुटाने में बड़ी दिक्कत का सामना करना पड़ रहा है, क्योंकि तब काफी ज्यादा इंटरेस्ट रेट पर बैंकों से लोन मिलता था। आनंद महिंद्रा से संयोग से हुई उनकी मुलाकात ने उनके लिए आगे का रास्","मुंबई में 1980 के दशक की शुरुआत में एक गुजराती परिवार रहता था। 60 सदस्यों वाला यह परिवार एक ही घर में रहता था। परिवार का कॉटन ट्रेडिंग का बिजनेस था। इस परिवार के एक युवा ने लीक से हटकर कुछ अलग करने के बारे में सोचा। यह युवा कोई और नहीं बल्कि उदय कोटक थे, जिनकी उम्र तब सिर्फ 26 साल थी। परिवार और दोस्तों से लिए गए 30 लाख रुपये के लोन से उन्होंने बिल डिस्काउंटिंट का धंधा शुरू किया। इस छोटी सी शुरुआत ने आज एक वटवृक्ष का रूप ले लिया है। आज कोटक महिंद्रा बैंक भारत का चौथा सबसे बड़ा प्राइवेट बैंक है। कोटक महिंद्रा बैंक ने तब शुरुआत की थी जब सिर्फ सरकारी बैंक थे 2003 से Kotak Mahindra Bank के बाद किसी दूसरे एनबीएफसी को एक पूर्ण बैंक का लाइसेंस नहीं मिला है। उदय कोटक उन दिनों को याद करते हुए कहते हैं, ""1980 के दशक में पूंजी जुटाना आसान काम नहीं था। तब इंडिया का 97 फीसदी फाइनेंशियल सेक्टर सरकार के कंट्रोल में था। लेकिन, देश बदलाव के रास्ते पर चलने को तैयार था। "" पूंजी हासिल करने के लिए चुकाना पड़ता था ज्यादा इंटरेस्ट कोटक को पहली बार बैंक का आइडिया कुछ सप्लायर्स के संघर्ष को देखने के बाद आया। उन्होंने देखा कि छोटे सप्लायर्स को पूंजी जुटाने में बड़ी दिक्कत का सामना करना पड़ रहा है, क्योंकि तब काफी ज्यादा इंटरेस्ट रेट पर बैंकों से लोन मिलता था। आनंद महिंद्रा से संयोग से हुई उनकी मुलाकात ने उनके लिए आगे का रास्ता साफ कर दिया। महिंद्रा को बैंक शुरू करने का कोटक का आइडिया पसंद आया। उन्होंने इसमें पैसे लगाने के लिए हामी भर दी। दोनों परिवार को नामों पर बैंक का नाम कोटक महिंद्रा बैंक रखा गया। कोटक ने प्रोफेशनल आंत्रप्रेन्योर के रास्ते पर चलने का फैसला किया कोटक कहते हैं, ""मैंन कई किताबें पढ़ी। गोल्डमैन सैक्स, जेपी मॉर्गन, मेरिल लिंच जैसे लोगों के बारे में पढ़ा। ये ऐसा नाम थे, जिन पर लोग भरोसा करते थे। "" उन्होंने प्रोफेशनल आंत्रप्रेन्योर के रास्ते पर चलने का फैसला किया। उनका जोर एक ऐसा बैंकर बनने पर था, जिसमें मानवीयता, सरलता और समझदारी जैसे मूल्य हों। साथ ही रिस्क के साथ रिटर्न हासिल करने की चाहत हो। 1990 के दशक को याद करते हुए वे कहते हैं कि वह कोठारी और कंपानी से छोटे थे। उनके लिए यह बड़े बाजार में अपनी छोटी पहचान बनाने की कोशिश की तरह था। यह भी पढ़ें: कर्नाटक के टियर II, टियर III शहरों में कंपनी शुरू करने पर सरकार करेगी मदद, हर लोकल हायरिंग पर मिलेंगे 50000 रुपये फाइनेंशियल सेक्टर की ग्रोथ में सरकारों का बड़ा हाथ आज वह इंडिया को सेविंग्स करने वाले लोगों की जगह इनवेस्टमेंट करने वाले लोगों का देश बनाने का श्रेय सरकारों को देते हैं। एक के बाद एक आई सरकारों ने देश को बदलने का काम किया। 2023 में कोटक महिंद्रा बैंक के एमडी और सीईओ का पद छोड़ने वाले कोटक ने कहा, ""आज वह खाली समय का आनंद उठा रहे हैं।"" हिंदी में शेयर बाजार , स्टॉक मार्केट न्यूज़ , बिजनेस न्यूज़ , पर्सनल फाइनेंस और अन्य देश से जुड़ी खबरें सबसे पहले मनीकंट्रोल हिंदी पर पढ़ें. डेली मार्केट अपडेट के लिए Moneycontrol App डाउनलोड करें।","uday kotak, kotak mahindra bank, is kotak bank a private or government bank, kotak Mahindra bank owner name, anand Mahindra, how kotak Mahindra bank started, who started kotak bank, kotak Mahindra bank stock split, uday kotak news",Rakesh Ranjan,https://hindi.moneycontrol.com/news/business/uday-kotak-had-started-his-business-journey-with-only-rupees-30-lakhs-today-kotak-mahindra-bank-is-the-fourth-largest-private-bank-of-india-2290900.html,moneycontrol_hindi,hi
2026-03-30,2026-03-30 10:13,2026-03-30 10:13,2026-03-30,Kotak Mahindra Bank,KOTAKBANK,"Trading strategy : सेंसेक्स 750 अंक टूटा, निफ्टी 22600 के आसपास,जानिए निफ्टी और बैंक निफ्टी में क्या हो कमाई की रणनीति","Trading strategy : मीडिया,एनर्जी,ऑयल एंड गैस और मेटल को छोड़कर बाकी सभी सेक्टोरल इंडेक्स लाल निशान में कारोबार कर रहे हैं। इनमें ऑटो,FMCG,कंज्यूमर ड्यूरेबल्स, प्राइवेट बैंक,फार्मा और PSU बैंक 1-2% नीचे हैं। निफ्टी मिडकैप और स्मॉलकैप इंडेक्स में भी 1-1% की गिरावट देखने को मिल रही है","Trading strategy : बाजार में आज भारी गिरावट देखने को मिल रही है। फिलहाल 10 बजे के आसपास निफ्टी 208 अंक यानी 0.92 फीसदी की गिरावट के साथ 22605 के आसपास दिख रहा है। वहीं, सेंसेक्स 765 अंक यानी 1.04 फीसदी की कमजोरी के साथ 72,850 के आसपास कारोबार कर रहा है। निफ्टी पर सबसे ज़्यादा नुकसान उठाने वाली कंपनियों में श्रीराम फाइनेंस,कोटक महिंद्रा बैंक,एक्सिस बैंक,बजाज फाइनेंस और भारती एयरटेल शामिल हैं। वहीं,हिंडाल्को इंडस्ट्रीज़,कोल इंडिया,भारत इलेक्ट्रॉनिक्स, ONGC और रिलायंस इंडस्ट्रीज़ को सबसे ज़्यादा फ़ायदा दिख रहा है। मीडिया,एनर्जी,ऑयल एंड गैस और मेटल को छोड़कर बाकी सभी सेक्टोरल इंडेक्स लाल निशान में कारोबार कर रहे हैं। इनमें ऑटो,FMCG,कंज्यूमर ड्यूरेबल्स, प्राइवेट बैंक,फार्मा और PSU बैंक 1-2% नीचे हैं। निफ्टी मिडकैप और स्मॉलकैप इंडेक्स में भी 1-1% की गिरावट देखने को मिल रही है। बाजार की आगे की चाल और आज क्या हो रणनीति इस पर बात करते हुए सीएनबीसी-आवाज़ के वीरेंद्र कुमार ने कहा कि निफ्टी के लिए पहला रजिस्टेंस 22972-23086 पर और बड़ा रजिस्टेंस 23241-23313/23346 पर है। इसके लिए पहला बेस 22466-22561 पर और अगला बड़ा बेस 22251-22323 पर है। जैसा कहा था 23166 के बाद 23000/22967 की ओर फिसला और 22967 के नीचे 22810 दिखा। FIIs कैश और F&O में भारी बिकवाली हुई, इंडेक्स में भारी शॉर्ट किया, नेट शॉर्ट बढ़कर 2.79 लाख पर पहुंच गए। क्रूड में तेज उछाल है। जियोपोलिटिकल टेंशन चरम पर है। RBI के एक्शन से रुपए में रिकवरी संभव है। 23000/23100 पर पहले कॉल राइटर्स,फिर 22500 पर काफी पुट राइटिंग है। एक्सपायरी के मद्देनजर सिर्फ निगटिव प्वाइंट हाल का निचला स्तर है। इसके नीचे 22000/21931 और 200WEMA की ओर एक नया निचला जोन संभव है। इसलिए रजिस्टेंस-1 के नीचे बिकवाली और उछाल में बिकवाली की राय होगी। बेस-1 पर शॉर्ट सौदों को चेक करें,इसके नीचे बेस-2 भी दिख सकता है। इंट्राडे बेसिस पर शॉर्ट करविंग सिर्फ पिछले क्लोज और रजिस्टेंस-1 के ऊपर ही संभव है। वीरेंद्र कुमार ने कहा कि बैंक निफ्टी के लिए पहला रजिस्टेंस 52571-52847 पर और बड़ा रजिस्टेंस 53081-53388 पर है। इसके लिए पहला बेस 51650-51810 पर और बड़ा बेस 51110-51310 पर है। बिकवाली का ट्रेड अच्छे से काम कर रहा है, लेकिन आज बैंकों के लिए बड़ा निगेटिव है। सबसे पहले कच्चे की बात करें तो, यह सरकारी बैंकों के लिए बुरी तरह असर डालेगा। वहीं RBI ने बैंको को फॉरेक्स रिजर्व कम करने के लिए कहा है,जिससे गिरावट बढ़ेगी। Stock Market Today : बाजार पर आज इन खबरों का दिखेगा असर, कोई ट्रेड लेने से पहले इन पर डाल लें एक नजर डिस्क्लेमर: मनीकंट्रोल.कॉम पर दिए गए विचार एक्सपर्ट के अपने निजी विचार होते हैं। वेबसाइट या मैनेजमेंट इसके लिए उत्तरदाई नहीं है। यूजर्स को मनी कंट्रोल की सलाह है कि कोई भी निवेश निर्णय लेने से पहले सर्टिफाइड एक्सपर्ट की सलाह लें। हिंदी में शेयर बाजार , स्टॉक मार्केट न्यूज़ , बिजनेस न्यूज़ , पर्सनल फाइनेंस और अन्य देश से जुड़ी खबरें सबसे पहले मनीकंट्रोल हिंदी पर पढ़ें. डेली मार्केट अपडेट के लिए Moneycontrol App डाउनलोड करें।","Trading Strategy, Trading plan, index trading, nifty view, bank nifty view, nifty trend, bank nifty trend, Stock market today, Stock market news, trade setup, ट्रेडिंग रणनीति, ट्रेडिंग प्लान, इंडेक्स ट्रेडिंग, निफ्टी का नज़रिया, बैंक निफ्टी का नज़रिया, निफ्टी का ट्रेंड, बैंक निफ्टी का ट्रेंड, आज का ",Sudhanshu Dubey,https://hindi.moneycontrol.com/news/markets/trading-strategy-sensex-plunges-750-points-nifty-hovers-around-22600-find-out-the-trading-strategy-for-nifty-and-bank-nifty-2387385.html,moneycontrol_hindi,hi
2026-04-08,2026-04-08 12:56,2026-04-08 12:56,2026-04-08,Kotak Mahindra Bank,KOTAKBANK,"Share Market News: मध्यपूर्व में सीजफायर के बाद शेयरों को लगे पंख, नीलेश शाह ने बताया इनवेस्टर्स को क्या करना चाहिए","Share Market News:मध्यपूर्व में सीजफायर के ऐलान से 8 अप्रैल को शेयर बाजार जबर्दस्त मजबूती के साथ खुले। 12 बजे निफ्टी 801 यानी 3.46 फीसदी के उछाल के साथ 23,921 अंक पर चल रहा था। सेंसेक्स 2,720 अंक यानी 3.70 प्वाइंट्स के उछाल के साथ 77,340 पर चल रहा था। बाजार में जबर्दस्त रिकवरी से इनवेस्टर्स खुश हैं","Share Market News : अमेरिका-ईरान के बीच सीजफायर के ऐलान से शेयरों को पंख लग गए। 8 अप्रैल को शेयर बाजार मजबूती के साथ खुले। 12 बजे निफ्टी 801 यानी 3.46 फीसदी के उछाल के साथ 23,921 अंक पर चल रहा था। सेंसेक्स 2,720 अंक यानी 3.70 प्वाइंट्स के उछाल के साथ 77,340 पर चल रहा था। बाजार में जबर्दस्त रिकवरी से इनवेस्टर्स खुश हैं। मनीकंट्रोल ने कोटक महिंद्रा एएमसी के एमडी नीलेश शाह से इस रिकवरी के बारे में बात की। उनसे यह भी पूछा कि अब निवेशकों को क्या करना चाहिए। सीजफायर से मार्केट में रिलीफ रैली की शुरुआत होगी शाह ने कहा कि मध्यपूर्व में सीजफायर के ऐलान का स्वागत होना चाहिए। इससे मार्केट में रिलीफ रैली की शुरुआत हो सकती है। उन्होंने कहा कि जहां तक भारत का सवाल है तो खाड़ी देशों में काम करने वाले करीब 90 लाख भारतीयों की सुरक्षा सबसे जरूरी है। दूसरा, स्ट्रेट ऑफ होर्मुज के खुल जाने से एनर्जी की कीमतें लड़ाई से पहले के स्तर की तरफ बढ़ेंगी। यह भारत के लिए काफी अहम है। युद्ध बंद होने पर ही बाजार में तेजी जारी रहेगी उन्होंने कहा कि मध्यपूर्व में रहने वाले भारतीय काफी पैसा भारत भेजते हैं। यह रेमिटेंस भारत के लिए काफी अहम है। उन्होंने कहा, ""मार्केट में शॉर्ट कवरिंग की वजह से रिलीफ रैली दिखेगी। लेकिन मार्केट पर घटनाओं का असर पड़ता रहेगा।"" उन्होंने कहा कि जब तक मध्यपूर्व क्राइसिस पूरी तरह खत्म नहीं हो जाती, इस तेजी के जारी रहने को लेकर संशय बना रहेगा। हालांकि, इस बार अमेरिका और ईरान दोनों की तरफ से सीजफायर को लेकर सहमति जताई गई है। निवेशकों को एसेट ऐलोकेशन धर्म के पालन की सलाह कोटक महिंद्रा एएमसी के एमडी ने निवेशकों को अनुशासन बनाए रखने की सलाह दी। उन्होंने कहा, ""इनवेस्टर्स को एसेट ऐलोकेशन के अपने धर्म का पालन करना चाहिए। उन्हें इवेंट्स की वजह से होने वाले उतार-चढ़ाव पर ध्यान नहीं देना चाहिए। गिरने वाले शेयरों को खरीदा जा सकता है।"" सीएनबीसी-टीवी18 से एक अलग बातचीत में उन्होंने कहा कि क्रूड की कीमतों का तीन अंकों की जगह दो अंकों में होना बहुत अहम है। इंडियन मार्केट अभी भी उभरते बाजारों से महंगा उन्होंने कहा कि अभी इंडियन मार्केट्स में फॉरवर्ड अर्निंग्स के 18 गुना पर ट्रेडिंग हो रही है। इसका मतलब है कि अभी भी इंडियन मार्केट्स उभरते बाजारों के मुकाबले प्रीमियम पर हैं। उन्होंने कहा कि चौथी तिमाही के नतीजों पर मध्यपूर्व में चल रही लड़ाई का असर पड़ेगा। ऐसे में हमें जून तिमाही के कंपनियों के नतीजों पर मध्यपूर्व की लड़ाई का असर देखना पड़ेगा। यह भी पढ़ें: RBI MPC Meeting 10 Points: आरबीआई की मॉनेटरी पॉलिसी की 10 सबसे जरूरी बातें स्मॉलकैप्स की अर्निंग्स ग्रोथ लार्जकैप के मुकाबले स्ट्रॉन्ग शाह ने कहा कि 10 सालों तक पॉजिटिव रिटर्न देने के बाद 11वें साल में निफ्टी का फ्लैट प्रदर्शन वाजिब होगा। बीएफएसआई की वैल्यूएशन में कमी आई है। मार्च तिमाही में उनके मार्जिन पर इसका असर दिख सकता है। बीएफएसआई और डोमेस्टिक फोकस वाले कंज्यूमर डिस्क्रेशनरी सेक्टर का प्रदर्शन बेहतर रहेगा। उन्होंने कहा कि कोटक एएमसी बैलेंस्ड और मल्टी-एसेट फंड्स में हाई इक्विटी ऐलोकेशन मेंटेन कर रहा है। इक्विटी में निवेश के बाद कैश लेवल 1 फीसदी से कम है। स्मॉलकैप्स की अर्निंग्स ग्रोथ लार्जकैप के मुकाबले स्ट्रॉन्ग रही है। डिसक्लेमर: मनीकंट्रोल पर एक्सपर्ट्स की तरफ से व्यक्त विचार उनके अपने विचार होते हैं। ये वेबसाइट या इसके मैनेजमेंट के विचार नहीं होते। मनीकंट्रोल की यूजर्स को सलाह है कि उन्हें निवेश का फैसला लेने से पहले सर्टिफायड एक्सपर्ट्स की राय लेनी चाहिए। हिंदी में शेयर बाजार , स्टॉक मार्केट न्यूज़ , बिजनेस न्यूज़ , पर्सनल फाइनेंस और अन्य देश से जुड़ी खबरें सबसे पहले मनीकंट्रोल हिंदी पर पढ़ें. डेली मार्केट अपडेट के लिए Moneycontrol App डाउनलोड करें।","Nilesh Shah, Kotak AMC, US-Iran ceasefire, Iran war, Middle East tensions, Strait of Hormuz, stock markets, nifty, sensex, stock market news",Rakesh Ranjan,https://hindi.moneycontrol.com/news/markets/stock-markets-rally-after-ceasefire-announcement-in-middle-east-kotak-mahindra-amc-nilesh-shah-says-investors-should-maintain-discipline-2390114.html,moneycontrol_hindi,hi
