datePublished,timestamp,timestamp_filled,trading_date,company,symbol,headline,description,articleBody,tags,author,url,source,language
2026-04-02,2026-04-02 10:50,2026-04-02 10:50,2026-04-02,Asian Paints,ASIANPAINT,"Big stocks : आज इन शेयरों पर रहे नजर, इनमें देखने को मिल सकता है जोरदार एक्शन",Big Stocks: अनुज सिंघल का कहना है कि HDFC बैंक आज बाजार की गिरावट को शायद लीड कर सकता है। FIIs की लगातार बिकवाली निगेटिव है। पिछले 1 साल में FIIs हिस्सेदारी 49% से 47% हो गई है,"Big stocks : ट्रंप के बयान और कमजोर ग्लोबल संकेतों के बीच बाजार का मूड आज फिर खराब हो गया है। फिलहाल सेंसेक्स 1568 अंक यानी 2.14 फीसदी की गिरावट के साथ 71,565 के आसपास और निफ्टी 480.50 अंक यानी 2.12 फीसदी की कमजोरी के साथ 22,197.05 के आसपास दिख रहा है। निफ्टी में सबसे ज़्यादा नुकसान उठाने वाले शेयरों में सन फार्मा,इंटरग्लोब एविएशन,श्रीराम फाइनेंस,एशियन पेंट्स और इटरनल शामिल हैं। सभी सेक्टोरल इंडेक्स लाल निशान में ट्रेड कर रहे हैं,जिनमें ऑटो,फार्मा,PSU बैंक,प्राइवेट बैंक,मेटल और मीडिया 2-3% नीचे हैं। निफ्टी मिडकैप और स्मॉलकैप इंडेक्स दोनों ही 2% से ज़्यादा नीचे कारोबार कर रहे हैं। ऐसे में सवाल है कि आज किन शेयरों पर हमारा फोकस होना चाहिए। आइए इस पर जानते हैं सीएनबीसी-आवाज़ के मैनेजिंग एडिटर अनुज सिंघल की राय। अनुज सिंघल का कहना है कि HDFC बैंक आज बाजार की गिरावट को शायद लीड कर सकता है। FIIs की लगातार बिकवाली निगेटिव है। पिछले 1 साल में FIIs हिस्सेदारी 49% से 47% हो गई है। पूर्व चेयरमैन अतनु चक्रवर्ती के इस्तीफे के बाद से शेयर 12% टूटा है। ट्रंप के बयान से बाजार का सेंटिमेंट खराब हुआ है। इंडिगो में कल की तेजी आज पूरी रिवर्स हो सकती है। पश्चिम एशिया युद्ध खत्म होने के संकेत नहीं है। क्रूड में फिर उबाल देखने को मिल रहा है। हालांकि नई बुकिंग पर आज से फ्यूल चार्ज लागू है। कल ही घरेलू ATF में 25% और अंतरराष्ट्रीय में 107% की बढ़ोतरी देखने को मिली। इंडिगो के मार्जिन पर बुरा असर पड़ने की आशंका है। क्रूड में तेजी ऑयल इंडिया के लिए पॉजिटिव है। ब्रेंट करीब 5 फीसदी उछलकर 106 डॉलर के पार दिख रहा है। OMCs शेयर इस समय खराब स्थिति में है। क्रूड में तेजी से OMCs की चिंताएं बढ़ीं हैं। ट्रंप के बयान के बाद क्रूड में फिर उबाल देखने को मिल रहा है। ब्रेंट करीब 5% उछलकर 106 डॉलर के पार चला गया है। अभी पेट्रोल और डीजल पर कंपनियों की अंडर रिकवरी है। पेट्रोल पर 24 रुपए तो डीजल पर 104 रुपए की अंडर रिकवरी है। अभी हर सिलेंडर पर कंपनियों को 380 रुपए का नुकसान हो रहा है। Trading Plan: मोमेंटम इंडिकेटर्स अभी भी दे रहे मंदी के संकेत, निफ्टी और बैंक निफ्टी में रिकवरी जारी रहनी मुश्किल हैवेल्स का शेयर डेली चार्ट पर काफी कमजोर लग रहा है। कल बाजार की जोरदार तेजी में भी ये शेयर गिरा था। शेयर 10 DEMA और 20 DEMA के नीचे फिसल गया है। 3 दिनों से शेयर में डिलिवरी बिकवाली देखने को मिल रही है। इसका भाव एक साल के निचले स्तर पर है। तीन दिनों से वायदा में शॉर्ट बिल्ड-अप या लॉन्ग कटे हैं। यह शेयर भी डेली चार्ट पर कमजोर दिख रहा है। डेली चार्ट पर डेथ क्रॉसओवर कन्फर्म हुआ है। 50 DMA ने 200 DMA को ऊपर से काटा है। वीकली बेसिस पर शेयर में लॉन्ग कटे हैं। डिस्क्लेमर: मनीकंट्रोल.कॉम पर दिए गए विचार एक्सपर्ट के अपने निजी विचार होते हैं। वेबसाइट या मैनेजमेंट इसके लिए उत्तरदाई नहीं है। यूजर्स को मनी कंट्रोल की सलाह है कि कोई भी निवेश निर्णय लेने से पहले सर्टिफाइड एक्सपर्ट की सलाह लें। हिंदी में शेयर बाजार , स्टॉक मार्केट न्यूज़ , बिजनेस न्यूज़ , पर्सनल फाइनेंस और अन्य देश से जुड़ी खबरें सबसे पहले मनीकंट्रोल हिंदी पर पढ़ें. डेली मार्केट अपडेट के लिए Moneycontrol App डाउनलोड करें।","HDFC Bank Share Price, IDFC FIRST Bank Share Price, Havells Share Price, OMC Stocks Share Price, Oil India Share Price, IndiGo Share Price, Big Stocks Share Price, Share Market, Stock Picks, HDFC बैंक शेयर प्राइस, आईडीएफसी फर्स्ट बैंक शेयर प्राइस, हैवेल्स शेयर प्राइस, OMC स्टॉक्स शेयर प्राइस, ऑयल इं",Sudhanshu Dubey,https://hindi.moneycontrol.com/news/markets/big-stocks-keep-an-eye-on-these-shares-today-strong-action-expected-2388388.html,moneycontrol_hindi,hi
2026-04-02,2026-04-02 15:39,2026-04-02 15:39,2026-04-03,Asian Paints,ASIANPAINT,"Stock Market Highlight:मजबूत रुपये ने थामीं बाजार की कमान, सेंसेक्स 185 अंक चढ़ा, निफ्टी 22700 के पार हुआ बंद","Stock Market Highlight:कारोबार के अंत में सेंसेक्स 185.23  अंक यानी 0.25 फीसदी की बढ़त के साथ 73,319.55 के स्तर पर बंद हुआ। वहीं निफ्टी 33.70 अंक यानी 0.15 फीसदी की बढ़त के साथ 22,713.10 के स्तर पर बंद हुआ।","Stock Market Highlight:भारतीय इक्विटी इंडेक्स 2 अप्रैल को उतार-चढ़ाव वाले सेशन में मामूली बढ़त के साथ बंद हुए और निफ्टी 22,700 के करीब रहा।HCL टेक्नोलॉजीज़, टेक महिंद्रा, TCS, नेस्ले, विप्रो निफ्टी पर टॉप गेनर्स में से थे, जबकि लूज़र्स में इटरनल, एशियन पेंट्स, आयशर मोटर्स, NTPC और सन फार्मा थे।निफ्टी मिडकैप और स्मॉलकैप इंडेक्स में 1-1% की गिरावट आई।सेक्टर्स में IT इंडेक्स 2.5% बढ़ा, जबकि PSU बैंक, Stock Market Highlight: मज़बूत रुपये से बाज़ार में तेज़ी, सेंसेक्स 180 पॉइंट ऊपर चढ़कर हुआ बंद भारतीय इक्विटी इंडेक्स 2 अप्रैल को उतार-चढ़ाव वाले सेशन में मामूली बढ़त के साथ बंद हुए और निफ्टी 22,700 के करीब रहा।HCL टेक्नोलॉजीज़, टेक महिंद्रा, TCS, नेस्ले, विप्रो निफ्टी पर टॉप गेनर्स में से थे, जबकि लूज़र्स में इटरनल, एशियन पेंट्स, आयशर मोटर्स, NTPC और सन फार्मा थे।निफ्टी मिडकैप और स्मॉलकैप इंडेक्स में 1-1% की गिरावट आई। सेक्टर्स में IT इंडेक्स 2.5% बढ़ा, जबकि PSU बैंक, ऑयल एंड गैस, फार्मा, कंज्यूमर ड्यूरेबल्स में 1-1% की गिरावट आई। कारोबार के अंत में सेंसेक्स 185.23 अंक यानी 0.25 फीसदी की बढ़त के साथ 73,319.55 के स्तर पर बंद हुआ। वहीं निफ्टी 33.70 अंक यानी 0.15 फीसदी की बढ़त के साथ 22,713.10 के स्तर पर बंद हुआ। Stock Market Live Update: रॉस मैक्सवेल, ग्लोबल स्ट्रैटेजी ऑपरेशंस लीड, VT मार्केट्स सोने में हाल की वोलैटिलिटी यह दिखाती है कि यह एक सेफ-हेवन एसेट के तौर पर अपनी पारंपरिक भूमिका और USD की मजबूती के बीच बैलेंस बना रहा है, जिससे यह विदेशी खरीदारों के लिए ज़्यादा महंगा हो गया है। बढ़ते जियोपॉलिटिकल टेंशन आम तौर पर इन्वेस्टर्स को वैल्यू के स्टोर के तौर पर सोने की ओर धकेलते हैं, जिससे कीमतें बढ़ती हैं। हालांकि, मौजूदा माहौल में हमने उसी समय USD को मजबूत होते देखा है। ऐसा सख्त मॉनेटरी हालात की उम्मीदों के कारण हुआ है और इससे सोने पर नीचे की ओर दबाव बना है। अलग-अलग सिनेरियो के कारण, हमने कीमतों में उतार-चढ़ाव देखा है। एनर्जी की ऊंची कीमतों के कारण महंगाई बढ़ने की संभावना के साथ, इंटरेस्ट रेट्स को लेकर उम्मीदों में बदलाव आया है, क्योंकि ज्यादा यील्ड सोने जैसे नॉन-यील्डिंग एसेट की अपील को कम करती है। इन्वेस्टर्स के लिए, यह माहौल बताता है कि सोने को इनकम के लिए मोमेंटम ट्रेड के बजाय एक स्ट्रैटेजिक हेज के रूप में देखा जाना चाहिए। हालांकि वोलैटिलिटी बनी रह सकती है, पोर्टफोलियो डाइवर्सिफिकेशन और रिस्क प्रोटेक्शन में इसकी लॉन्ग-टर्म भूमिका मजबूत बनी हुई है, खासकर मैक्रोइकोनॉमिक और जियोपॉलिटिकल अनिश्चितता के समय में, जिसका हम सामना कर रहे हैं। Stock Market Live Update: अल्केम लैब्स उज्जैन में नई यूनिट के लिए इन्वेस्टमेंट बढ़ाकर ₹1,036 करोड़ करेगी अल्केम लैबोरेटरीज लिमिटेड ने गुरुवार को मध्य प्रदेश के उज्जैन में अपनी प्रस्तावित ग्रीनफील्ड फॉर्मूलेशन मैन्युफैक्चरिंग फैसिलिटी के लिए इन्वेस्टमेंट को लगभग दोगुना करके ₹1,036 करोड़ तक करने की घोषणा की। अल्केम लैबोरेटरीज लिमिटेड ने एक रेगुलेटरी फाइलिंग में कहा कि कंपनी के बोर्ड ऑफ डायरेक्टर्स ने 2 अप्रैल को उज्जैन में मैन्युफैक्चरिंग फैसिलिटी लगाने के लिए फेज्ड तरीके से इन्वेस्टमेंट को ₹533 करोड़ से बढ़ाकर ₹1,036 करोड़ करने की मंजूरी दे दी है। इससे पहले 18 मार्च को, कंपनी ने कहा था कि उसे उज्जैन में ग्रीनफील्ड फॉर्मूलेशन मैन्युफैक्चरिंग फैसिलिटी लगाने के लिए 30 एकड़ जमीन के अलॉटमेंट के लिए DMIC विक्रम उद्योगपुरी लिमिटेड से अलॉटमेंट लेटर मिला है और कंपनी के बोर्ड ने फेज्ड तरीके से ₹533 करोड़ तक के इन्वेस्टमेंट को मंजूरी दे दी है। मार्केट्स@3 | सेंसेक्स, निफ्टी में सुधार, ट्रेड फ्लैट सेंसेक्स 43.15 पॉइंट्स या 0.06 परसेंट बढ़कर 73,177.47 पर और निफ्टी 1.05 पॉइंट्स या 0.00 परसेंट बढ़कर 22,680.45 पर था। लगभग 2231 शेयर बढ़े, 1654 शेयर गिरे, और 136 शेयर बिना किसी बदलाव के रहे। Stock Market Live Update:Q4 बिज़नेस अपडेट पर कर्नाटक बैंक के शेयर 6% टूटा प्राइवेट सेक्टर के लेंडर कर्नाटक बैंक के शेयर गुरुवार, 2 अप्रैल को लगभग 6 परसेंट गिरकर NSE पर ₹217 के इंट्राडे लो पर आ गए। यह तब हुआ जब बैंक ने फाइनेंशियल ईयर 2026 (Q4FY26) की जनवरी-मार्च तिमाही के लिए प्रोविजनल बिजनेस अपडेट जारी किया। हालांकि, ईयर-टू-डेट (YTD) बेसिस पर, स्टॉक लगभग 38 परसेंट गिरा है। स्टॉक का 52-हफ्ते का हाई ₹515.50 था, और NSE पर इसका 52-हफ्ते का लो ₹248 था। इसका टोटल मार्केट कैपिटलाइज़ेशन ₹5,833 करोड़ था। कर्नाटक बैंक ट्रेजरी और फॉरेन एक्सचेंज बिज़नेस के अलावा रिटेल, कॉर्पोरेट बैंकिंग और पैरा-बैंकिंग एक्टिविटीज़ से जुड़ी बैंकिंग और फाइनेंशियल सर्विसेज़ की एक बड़ी रेंज देता है। Stock Market Live Update: MM फोर्जिंग्स के CFO ने इस्तीफा दिया आर. वेंकटकृष्णन ने उम्र और सेहत की वजह से 1 अप्रैल से चीफ फाइनेंशियल ऑफिसर (CFO) के पद से इस्तीफा दे दिया है।MM फोर्जिंग्स का शेयर 6.00 रुपये या 1.49 प्रतिशत बढ़कर 409.55 रुपये पर था।इसने 409.55 रुपये का इंट्राडे हाई और 380.70 रुपये का इंट्राडे लो छुआ है।यह 2,912 शेयरों के वॉल्यूम के साथ ट्रेड कर रहा था, जबकि इसके पांच दिन के एवरेज 7,534 शेयरों का था, जो -61.35 प्रतिशत की गिरावट है। Stock Market Live Update: PVC में राहत अच्छी बात है, लेकिन कोई बड़ा फ़ायदा नहीं- एस्ट्रल गुरुवार, 2 अप्रैल को एस्ट्रल लिमिटेड के शेयर में 3% तक की गिरावट आई। यह गिरावट तब आई जब सरकार ने पश्चिम एशिया में चल रहे संघर्ष को देखते हुए कुछ ज़रूरी पेट्रोकेमिकल प्रोडक्ट्स पर पूरी कस्टम ड्यूटी में छूट देने का ऐलान किया। यह छूट 30 जून, 2026 तक वैलिड है, और इससे PVC रेज़िन और HDPE/PE जैसे ज़रूरी रॉ मटीरियल की कीमतें कम होने से प्लास्टिक पाइप बनाने वालों के लिए इनपुट कॉस्ट कम होने की उम्मीद है। Stock Market Live Update:  ले","sensex, sensex today, live sensex updates, stock market, stock market updates, stock market today, share market, share market latest updates, BSE, NSE, nifty, nifty50, sensex share price, bse sensex, stock market latest updates, sensex latest updates, Stock market live updates, crude, msci index, hd",Moneycontrol Hindi,https://hindi.moneycontrol.com/news/markets/live-stock-market-today-april-2-updates-bse-nse-sensex-nifty-latest-news-crude-powerica-sai-parenterals-prestige-estates-nmdc-ola-electric-v-mart-share-price-liveblog-2388314.html,moneycontrol_hindi,hi
2026-04-02,2026-04-02 16:17,2026-04-02 16:17,2026-04-03,Asian Paints,ASIANPAINT,"Market outlook : बढ़त के साथ बंद हुए सेंसेक्स-निफ्टी, जानिए 6 अप्रैल को कैसी रह सकती है बाजार की चाल","Market outlook : सेक्टोरल इंडेक्सों पर नजर डालें तो IT इंडेक्स में 2.6 प्रतिशन और रियल्टी इंडेक्स में 1 फीसदी की बढ़त हुई,जबकि ऑटो,पीएसयू बैंक,ऑयल एंड गैस,फार्मा और कंज्यूमर ड्यूरेबलसेक्टरों में से प्रत्येक में 1 फीसदी की गिरावट दर्ज की गई","Stock Market : 2 अप्रैल को एक उतार-चढ़ाव भरे सत्र में भारतीय इक्विटी इंडेक्स मामूली बढ़त के साथ बंद हुए। निफ्टी 22,700 के ऊपर टिकने में कामयाब रहा। बाजार बंद होने पर सेंसेक्स 185.23 अंक या 0.25 प्रतिशत की बढ़त के साथ 73,319.55 पर और निफ्टी 33.70 अंक या 0.15 प्रतिशत की बढ़त के साथ 22,713.10 पर बंद हुआ। लगभग 2548 शेयरों में बढ़त दर्ज की गई, 1505 शेयरों में गिरावट आई और 147 शेयरों में कोई बदलाव नहीं हुआ। निफ्टी में सबसे ज़्यादा बढ़त हासिल करने वाले शेयरों में एचसीएल टेक्नोलॉजीज,टेक महिंद्रा,टीसीएस,टाटा कंज्यूमर और विप्रो शामिल रहे। जबकि,सबसे ज़्यादा गिरावट वाले शेयरों में इटरनल,एशियन पेंट्स,आयशर मोटर्स,बजाज ऑटो और सन फार्मा शामिल रहे। निफ्टी मिडकैप इंडेक्स में 0.3 प्रतिशत और स्मॉलकैप इंडेक्स में 0.4 प्रतिशत की गिरावट आई। सेक्टोरल इंडेक्सों पर नजर डालें तो IT इंडेक्स में 2.6 प्रतिशन और रियल्टी इंडेक्स में 1 फीसदी की बढ़त हुई,जबकि ऑटो,पीएसयू बैंक,ऑयल एंड गैस,फार्मा और कंज्यूमर ड्यूरेबलसेक्टरों में से प्रत्येक में 1 फीसदी की गिरावट दर्ज की गई। बाज़ार लगातार छठे हफ़्ते गिरा है। हालांकि, गुरुवार की रिकवरी से बाज़ार को हफ़्ते भर के नुकसान की भरपाई में मदद मिली। IT और मेटल इंडेक्स को सबसे ज़्यादा फ़ायदा हुआ। जबकि फार्मा इंडेक्स को सबसे ज़्यादा नुकसान। Sensex और Nifty में 0.2 फीसदी की गिरावट रही,निफ्टी बैंक 1 फीसदी से ज़्यादा नीचे आया। मिडकैप इंडेक्स इस हफ़्ते 1 फीसदी से भी कम गिरा है। बाजार जानकारों का मानना ​​है कि भू-राजनीतिक तनाव,तेल की बढ़ती कीमतों और सतर्क ग्लोबल संकेतों के हावी होने के कारण निफ्टी में उतार-चढ़ाव बना रह सकता है। ऐसे में अगर अहम सपोर्ट लेवल टिक नहीं पाते हैं तो बाजार में गिरावट का जोखिम बना रहेगा। मोतीलाल ओसवाल फाइनेंशियल सर्विसेज़ के MD और CEO वेल्थ मैनेजमेंट,अजय मेनन ने कहा कि छुट्टियों की वजह से ट्रेडिंग हफ़्ता छोटा होने और ग्लोबल संकेतों के प्रति बढ़ी हुई संवेदनशीलता को देखते हुए,नियर-टर्म सेंटिमेंट के वोलाटाइल और हेडलाइन-ड्रिवेन रहने की उम्मीद है। बाजार की आगे की दिशा US-ईरान संघर्ष में होने वाले डेवलपमेंट्स और ग्लोबल एनर्जी की कीमतों में होने वाले उतार-चढ़ाव पर निर्भर करेगी। बजाज ब्रोकिंग के मुताबिक निफ्टी के 22,300 के स्तर से ऊपर बने रहने पर 22,300–22,900 की रेंज में कंसोलिडेशन देखने को मिल सकता है। वहीं,इन स्तरों पर टिके रहने में नाकाम रहने पर गिरावट बढ़कर 22,100–21,800 के ज़ोन तक जा सकती है,जो कि एक अहम सपोर्ट एरिया बना हुआ है। बाजार में चल रहे गिरावट के रुझान में किसी भी अच्छे बदलाव के लिए,इंडेक्स को डेली चार्ट पर लगातार हायर हाईज और हायर लोज बनाना शुरू करना होगा,साथ ही पिछले हफ्ते के 23,465 के हाई के ऊपर बंद होना होगा। निफ्टी के लिए 22,100–21,800 का दायरा एक मज़बूत सपोर्ट ज़ोन है,क्योंकि यह पिछले दो सालों के निचले स्तरों को जोड़ने वाली एक लंबी अवधि की ट्रेंडलाइन और 200 वीक EMA के साथ मेल खाता है। Market trend : लॉन्ग वीकेंड से पहले कोई पोजिशन कैरी ना करें, अगर निफ्टी में 22200 टूटा तो बड़ी गिरावट का खतरा बोनान्ज़ा में रिसर्च एनालिस्ट अभिनव तिवारी का कहना है कि आगे चलकर,बाज़ार की दिशा काफी हद तक ग्लोबल भू-राजनीतिक घटनाओं,कच्चे तेल की कीमतों में उतार-चढ़ाव,रुपये की स्थिरता और आने वाली कॉर्पोरेट आय पर निर्भर करेगी। यदि बाहरी जोखिम नियंत्रण में रहते हैं तो घरेलू विकास से जुड़े सेक्टरो में चुनिंदा खरीदारी जारी रह सकती है। HDFC सिक्योरिटीज में वरिष्ठ तकनीकी अनुसंधान विश्लेषक नागराज शेट्टी का कहना है कि डेली चार्ट पर नीचे खुलने के बाद एक लॉन्ग ग्रीन कैंडल बनी। तकनीकी रूप से बाज़ार की यह हलचल यह संकेत देती है कि निचले स्तरों पर 'बुलिश काउंटर अटैक' जैसा कैंडल पैटर्न बन रहा है। डेली चार्ट पर 'लोअर टॉप्स और बॉटम्स' जैसा बेयरिश चार्ट पैटर्न जारी रहा और गुरुवार के 22182 के निचले स्तर को अब इस पैटर्न का एक नया 'लोअर बॉटम'माना जा सकता है। ऐसा लगता है कि खरीदारी 22200 के सपोर्ट लेवल के आस-पास से शुरू हुई है और इस पैटर्न को 'बॉटम रिवर्सल पैटर्न' मानने के लिए निफ्टी को 23000 के रेजिस्टेंस वाले लेवल से ऊपर बने रहना होगा। इसका तत्काल सपोर्ट 22400 के लेवल पर है। डिस्क्लेमर: मनीकंट्रोल.कॉम पर दिए गए विचार एक्सपर्ट के अपने निजी विचार होते हैं। वेबसाइट या मैनेजमेंट इसके लिए उत्तरदाई नहीं है। यूजर्स को मनी कंट्रोल की सलाह है कि कोई भी निवेश निर्णय लेने से पहले सर्टिफाइड एक्सपर्ट की सलाह लें। हिंदी में शेयर बाजार , स्टॉक मार्केट न्यूज़ , बिजनेस न्यूज़ , पर्सनल फाइनेंस और अन्य देश से जुड़ी खबरें सबसे पहले मनीकंट्रोल हिंदी पर पढ़ें. डेली मार्केट अपडेट के लिए Moneycontrol App डाउनलोड करें।","Nifty midcap index, smallcap index,Market Close,market outlook, stock market news, stock market hindi news, moneycontrol hindi news, nifty view, bank nifty view, nifty trend, bank nifty trend, Stock market trend, मार्केट आउटलुक, शेयर मार्केट न्यूज़, शेयर मार्केट हिंदी न्यूज़, मनीकंट्रोल हिंदी न्यूज़",Sudhanshu Dubey,https://hindi.moneycontrol.com/news/markets/market-outlook-sensex-and-nifty-close-higher-find-out-how-the-market-might-move-on-april-6-2388549.html,moneycontrol_hindi,hi
