date,open,high,low,close,volume
1999-01-28,2.2632422042903104,2.2811099367943,2.2235362372442147,2.235448122024536,1482000
1999-01-29,2.22949187802788,2.414124844320945,2.22353603085703,2.410154342651367,3234000
1999-02-01,2.3565516384313883,2.382360567297068,2.245374917984009,2.245374917984009,1574000
1999-02-02,2.3029483347645794,2.3029483347645794,2.1739037066501,2.195742130279541,2190000
1999-02-03,2.298977932071061,2.298977932071061,2.2036836002683056,2.223536491394043,1544000
1999-02-04,2.2533161973824565,2.263242548654588,2.187801294454714,2.199712991714477,584000
1999-02-05,2.185815328736313,2.203683058893045,2.124270945900121,2.1639769077301025,890000
1999-02-08,2.112359880826616,2.1421393137306284,2.034933090209961,2.034933090209961,1200000
1999-02-09,2.030961903094261,2.0508149797460624,1.9714030518048,2.025006055831909,2574000
1999-02-10,2.072653240477855,2.104418201414631,2.0468445055494957,2.0647120475769043,1446000
1999-02-11,2.084565366796201,2.136183221318692,2.056771093745706,2.086550712585449,1338000
1999-02-12,2.0647120475769043,2.104418201414631,2.0448591599910144,2.0647120475769043,788000
1999-02-15,2.082580207959452,2.082580207959452,2.042874235275065,2.056771278381348,870000
1999-02-16,2.052800654460563,2.0805947390305195,1.97537387030211,2.0309622287750244,1736000
1999-02-17,2.054785926035691,2.1917715660826733,2.0389035384746785,2.128242015838623,1764000
1999-02-18,2.16397789187584,2.1957428651190347,2.1004483240555434,2.183830976486206,2094000
1999-02-19,2.1818451738970857,2.2632424629785244,2.14412454822508,2.223536491394043,1566000
1999-02-22,2.207653666342881,2.243389128371096,2.108388662338257,2.108388662338257,1076000
1999-02-23,2.104419301591252,2.120301695696365,2.0448602290305424,2.100448608398437,1348000
1999-02-24,2.0944912643331,2.1163294933212344,2.0647116546224398,2.1044178009033203,564000
1999-02-25,2.084566107822787,2.084566107822787,2.0250070383040946,2.0448601245880127,536000
1999-02-26,2.009123901703868,2.0448593680608096,1.951550199980457,1.9952268600463867,1222000
1999-03-01,2.02500614625932,2.1203006533772184,1.985300180515604,2.052800416946411,3378000
1999-03-02,2.052800416946411,2.052800416946411,2.052800416946411,2.052800416946411,0
1999-03-03,2.215594734623875,2.2175800800323486,2.215594734623875,2.2175800800323486,438000
1999-03-04,2.396256923675537,2.396256923675537,2.2453742748561387,2.396256923675537,12722000
1999-03-05,2.46177202285713,2.5669930633908087,2.364492364401135,2.491551637649536,17072000
1999-03-08,2.503463613575763,2.600743472302338,2.4677283368731557,2.541184425354004,11716000
1999-03-09,2.5114045248448376,2.557066525126673,2.433977942917114,2.491551637649536,7562000
1999-03-10,2.5213319037077557,2.5213319037077557,2.293022394180298,2.293022394180298,4156000
1999-03-11,2.203683558827249,2.352581091468739,2.1441245079040527,2.1441245079040527,3718000
1999-03-12,2.1719180940613483,2.31088924407959,2.126256285416982,2.31088924407959,5600000
1999-03-15,2.2433889894661228,2.3188304105584514,2.2275066049554177,2.2791242599487305,4714000
1999-03-16,2.23346331108183,2.243389852553244,2.1044188399525368,2.110374689102173,4310000
1999-03-17,2.1302268699007163,2.199712447616493,2.1302268699007163,2.140153408050537,2430000
1999-03-18,2.132212662083232,2.223536491394043,2.132212662083232,2.223536491394043,4208000
1999-03-19,2.114344302462334,2.2036829487820264,2.114344302462334,2.148094415664673,3522000
1999-03-22,2.14412426082993,2.2136096544558046,2.094491755668742,2.1858155727386475,4126000
