date,open,high,low,close,volume
1999-01-28,2.8133757120562213,2.839425387795847,2.7873257382005776,2.8068630695343018,606888
1999-01-29,2.782115928351455,2.800350791234457,2.7352264512900355,2.7449951171875,1095624
1999-02-01,2.777556836606179,2.779510688819997,2.725457489552281,2.7287135124206543,727848
1999-02-02,2.7222013497043305,2.731318929820845,2.6701017010677077,2.686383008956909,1494072
1999-02-03,2.7612761280317994,2.77430111526892,2.710478946111452,2.741738796234131,532008
1999-02-04,2.787326002885698,2.787326002885698,2.6062801281653045,2.650564670562744,983712
1999-02-05,2.6622872183472737,2.6622872183472737,2.4486790199765096,2.5007786750793457,2462520
1999-02-08,2.526827752003753,2.552877424295428,2.5007780797120787,2.5138027667999268,1061832
1999-02-09,2.492311931826572,2.492311931826572,2.435653644171744,2.4538886547088623,1200840
1999-02-10,2.513802764918651,2.513802764918651,2.378995166848461,2.4747281074523926,917232
1999-02-11,2.5007782763034245,2.6727068424224854,2.4747283038479293,2.6727068424224854,3598200
1999-02-12,2.7352266311645512,2.796443568398952,2.674009395814106,2.735226631164551,4783992
1999-02-15,2.7599734505862425,2.7612759193999423,2.5164082050323486,2.5164082050323486,1275312
1999-02-16,2.436956228588283,2.66879940032959,2.436956228588283,2.66879940032959,1123872
1999-02-17,2.644051825699295,2.7586708651556173,2.539852834428088,2.605628252029419,2137128
1999-02-18,2.6049768928124664,2.670101218245091,2.6049768928124664,2.6082332134246826,416136
1999-02-19,2.6310273373737507,2.6531699066885164,2.5939065235610816,2.650564670562744,514128
1999-02-22,2.5554833686728324,2.6180027783841675,2.5554833686728324,2.5919528007507324,470640
1999-02-23,2.578927394703081,2.591952081790929,2.5138027667999268,2.5138027667999268,901368
1999-02-24,2.5528777374424365,2.692244291305542,2.526828061955396,2.692244291305542,1312560
1999-02-25,2.670102211729128,2.774301528930664,2.578928181822871,2.774301528930664,2541048
1999-02-26,2.799699523027864,2.82314426002773,2.728713630440815,2.754763603210449,2557992
1999-03-01,2.540504442955059,2.5659030361532658,2.3496897493568536,2.4226293563842773,2427528
1999-03-02,2.4226293563842773,2.4226293563842773,2.4226293563842773,2.4226293563842773,0
1999-03-03,2.512500212659554,2.513802383053577,2.3640164175971607,2.3835537433624268,2805408
1999-03-04,2.3835545942408616,2.443468912376789,2.254608227970583,2.27935528755188,1145856
1999-03-05,2.306706961672199,2.344479297057163,2.238977698877995,2.2774009704589844,6779256
1999-03-08,2.326895804639027,2.459749698638916,2.305404773007336,2.459749698638916,6279768
1999-03-09,2.499476253244893,2.657077550888061,2.4551915578363417,2.657077550888061,4299816
1999-03-10,2.759321375566676,2.870032985680085,2.70917559351701,2.7957913875579834,5874432
1999-03-11,2.8524506766471798,2.8524506766471798,2.604977687520385,2.623863935470581,1455312
1999-03-12,2.559390232956793,2.66879940032959,2.559390232956793,2.66879940032959,1650000
1999-03-15,2.6134437291037456,2.631027208868605,2.5470166206359863,2.5470166206359863,1746312
1999-03-16,2.521617146181451,2.5528769860580502,2.403091023448823,2.4486780166625977,1862472
1999-03-17,2.412860317309222,2.6440519622408027,2.412860317309222,2.522269487380981,1445568
1999-03-18,2.5659026509957465,2.631026986912266,2.500778315079227,2.55287766456604,1435920
1999-03-19,2.55287766456604,2.5659026509957465,2.515105472224297,2.55287766456604,1549560
1999-03-22,2.5268283071492976,2.7677886486053467,2.5268283071492976,2.7677886486053467,2885808
1999-03-23,2.774300752076853,2.799699339712021,2.657076776636986,2.683126449584961,1460352
1999-03-24,2.7599733070671766,2.761275775813148,2.502732003288024,2.528130292892456,1518528
1999-03-25,2.5261766720420304,2.6701014024205465,2.5138027721084764,2.6310267448425293,1964928
1999-03-26,2.5411556126699884,2.614746456650973,2.513803464082548,2.5919528007507324,557400
1999-03-29,2.5919528007507324,2.5919528007507324,2.5919528007507324,2.5919528007507324,0
1999-03-30,2.600419194660958,2.600419194660958,2.474728698469903,2.5007786750793457,957240
1999-03-31,2.5659023892614385,2.680521423426348,2.539852717175223,2.5860908031463623,1260120
1999-04-01,2.5984656016031904,2.5984656016031904,2.455191610289538,2.46170425415039,3554688
1999-04-02,2.46170425415039,2.46170425415039,2.46170425415039,2.46170425415039,0
1999-04-05,2.4258843370205927,2.4617029651516686,2.2793543986187075,2.4037420749664307,1347024
1999-04-06,2.344480333596876,2.3835550058234896,2.319732971626265,2.3509926795959477,1242240
1999-04-07,2.3965796978216343,2.408302069678009,2.346434037396597,2.3509926795959477,1668480
1999-04-08,2.3575047692090254,2.4617040825587244,2.3575047692090254,2.4291417598724365,1361040
1999-04-09,2.412208929005982,2.443468627939005,2.324942325381377,2.354899406433105,623208
1999-04-12,2.331454515509364,2.3978814645159057,2.318429530020713,2.3347108364105225,3129888
1999-04-13,2.3444799225607817,2.3640172552487884,2.318429946899414,2.318429946899414,1034160
1999-04-14,2.318429946899414,2.318429946899414,2.318429946899414,2.318429946899414,0
1999-04-15,2.292380769617854,2.3054057602909674,2.240281105041504,2.240281105041504,858240
1999-04-16,2.2650282287690247,2.369227248796778,2.2142311878732404,2.300846576690674,6501720
1999-04-19,2.057932207058325,2.162131211809371,2.044907219670934,2.13152289390564,1827312
1999-04-20,2.162131322922643,2.162131322922643,2.083981990814209,2.083981990814209,2312544
1999-04-21,2.131523010436687,2.1491066400303582,2.0390460719161103,2.044907331466675,1867584
1999-04-22,2.069654687845963,2.069654687845963,1.9354982943186507,1.9517796039581297,1603032
1999-04-23,1.9543845128183448,1.9543845128183448,1.8241355182904704,1.8482317924499512,2365656
1999-04-26,1.7323094632982077,1.9511274662487652,1.700398535588329,1.7518467903137207,8630496
1999-04-27,1.7518467903137207,1.7518467903137207,1.7518467903137207,1.7518467903137207,0
1999-04-28,1.79092194755683,1.892516016960144,1.7876659242166704,1.892516016960144,2856696
1999-04-29,1.979782721729752,2.0442559719085693,1.979782721729752,2.0442559719085693,961008
1999-04-30,2.199903208377261,2.208369255065918,2.149757268258044,2.208369255065918,2949744
1999-05-03,2.224651130265661,2.2402810591298614,2.031883001327514,2.031883001327514,10155888
1999-05-04,1.9797831248428532,2.1946938037872314,1.9797831248428532,2.1946938037872314,5000472
1999-05-05,2.2663310863877304,2.3379677897995954,2.2142314218113803,2.240281105041504,6838440
1999-05-06,2.1901347430196787,2.266330362608639,2.1901347430196787,2.243536710739136,1565064
1999-05-07,2.264376234260237,2.2845646465443,2.20902027555707,2.214230298995972,3318600
