date,open,high,low,close,volume
1999-01-28,5.020476733365148,5.065975009958915,4.64394131501198,4.777297496795654,235800
1999-01-29,4.891825656764586,4.913790260895882,4.723953556034783,4.79926061630249,128700
1999-02-01,4.814951159362027,4.8165202140808105,4.643941431455105,4.8165202140808105,124200
1999-02-02,4.68316509852087,4.769454519465646,4.432141304016113,4.432141304016113,221400
1999-02-03,4.625114015857977,4.640802945857852,4.549806936403084,4.612562656402588,54900
1999-02-04,4.658059882482392,4.658059882482392,4.439983158180395,4.529410362243652,168300
1999-02-05,4.54509941683148,4.549806041041348,4.361538110134226,4.377227306365967,174600
1999-02-08,4.388211221477568,4.392918117025128,4.272112735493823,4.308197498321533,42300
1999-02-09,4.300351594034041,4.353694330967459,3.989709768929538,4.110515117645264,80100
1999-02-10,4.138755592726572,4.392917407803812,4.0163817146352905,4.389779567718506,81000
1999-02-11,4.439984216164763,4.581184857361879,4.245440565891802,4.392917156219482,217800
1999-02-12,4.43998316509212,4.43998316509212,4.270542004856232,4.330160140991211,63900
1999-02-15,4.392917621847014,4.392917621847014,4.212494097365573,4.306628227233887,67500
1999-02-16,4.236026593264102,4.265835393986583,4.119927883148193,4.119927883148193,125100
1999-02-17,4.236028083802447,4.378797805506851,4.204649948374607,4.283094882965088,55800
1999-02-18,4.314470922700262,4.352124723138195,4.226612773196548,4.247008323669434,125100
1999-02-19,4.298782589714978,4.330160444906486,4.174839415342158,4.203079700469971,135000
1999-02-22,4.267404847593144,4.267404847593144,4.173270734944916,4.23916482925415,28800
1999-02-23,4.143461887586475,4.173270690782447,4.035207632254648,4.079136848449707,64800
1999-02-24,4.20151113181187,4.223475740712753,4.113652696208337,4.204648971557617,103500
1999-02-25,4.220337925311525,4.290938377380371,4.204648995811637,4.290938377380371,72000
1999-02-26,4.303489968347698,4.455673194724096,4.29250793187417,4.367815017700195,168300
1999-03-01,4.088550214147561,4.1434620052703455,3.9222471328562194,4.02422571182251,143100
1999-03-02,6.036338806152344,6.036338806152344,6.036338806152344,6.036338806152344,0
1999-03-03,4.204648485501819,4.220337413097572,4.079136526097151,4.203079700469971,78300
1999-03-04,4.173272551540342,4.173272551540342,4.032071590423584,4.032071590423584,54000
1999-03-05,4.204649480200597,4.204649480200597,3.920678853988648,3.920678853988648,171900
1999-03-08,3.9551957279168746,4.0148138999938965,3.892439714785357,4.0148138999938965,86400
1999-03-09,4.079136421687306,4.079136421687306,3.859490633010864,3.859490633010864,249300
1999-03-10,3.999122898912697,4.0791365925460505,3.922246775394149,3.9850027561187744,579600
1999-03-11,4.000693098609985,4.016382301328315,3.890870026178765,3.906559228897095,296100
1999-03-12,3.861059176392496,3.9363659630954335,3.765356302261353,3.765356302261353,258300
1999-03-15,3.6147440527685712,3.702602240291659,3.486094208009108,3.503351926803589,522900
1999-03-16,3.5143342950522536,3.605330593982227,3.424907051061433,3.475111961364746,307800
1999-03-17,3.4829552192877946,3.754374697618739,3.4829552192877946,3.671223163604736,214200
1999-03-18,3.762219951855418,3.961469972188579,3.7355484454192553,3.92695426940918,171900
1999-03-19,4.047759930136187,4.079137795089134,3.8971457474509945,3.908127784729004,610200
1999-03-22,3.978727077250515,4.032069539672751,3.8924377047489016,3.9850027561187744,205200
