Date,Ticker,Company_Name,Sector,Open,High,Low,Close,Volume,Dividend,Stock_Split,Daily_Return,Volatility_20D,MA_50,MA_200,Market_Cap,PE_Ratio,Forward_PE,PEG_Ratio,Price_to_Book,Dividend_Yield,EPS,Beta,52Week_High,52Week_Low,nifty_ret_proxy,target_label,news_sync_date,rsi,macd_diff,bb_width,sma_20,dist_from_sma,vol_delta,en_sentiment,hi_sentiment,source_conf
2002-07-26 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3732727939386146,0.3732727939386146,0.3430415662649201,0.3533299565315246,517609,0.0,,0.0046070742697317,,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0251652420982365,-0.1146156892958135,2002-07-26 00:00:00+05:30,0.2750183724679558,0.6391135597981489,0.0118736142982452,0.3813414067029952,0.0456393817316189,0.0019212495685467,0.0,0.0,1.0
2002-07-29 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.306327590673849,0.3083004057407379,0.2831433822125287,0.3083004057407379,171884,0.0,,-0.1274433428538606,0.03686479339145,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.012827653558047,0.0159656526759972,2002-07-29 00:00:00+05:30,0.1450864376102145,0.6391135597981489,0.0163279858705764,0.3771273776888847,0.0391859712711634,0.0004706624258781,0.0,0.0,1.0
2002-07-30 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3024515700219868,0.3137263671137907,0.2927978368175378,0.3102035820484161,665615,0.0,,0.0061731229419097,0.0368753778045362,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0097925297340875,-0.0194237511598837,2002-07-30 00:00:00+05:30,0.1605550212881416,0.6391135597981489,0.0192763995312409,0.372895760834217,0.0400370140358209,0.0054886248151854,0.0,0.0,1.0
2002-07-31 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3031564947863372,0.3121059672398197,0.3009015315572325,0.3054114580154419,55579,0.0,,-0.0154483194595292,0.0367041247914631,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.0039754317003545,0.0616135709929691,2002-07-31 00:00:00+05:30,0.1508939842551478,0.6391135597981489,0.0218308623079468,0.3683434814214706,0.0398755172318989,0.0001183487088396,0.0,0.0,1.0
2002-08-01 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3083003840045922,0.3276093198374585,0.3083003840045922,0.3233808279037475,311348,0.0,,0.0588365937711383,0.0397241894596965,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0027769772218308,0.0101572199907486,2002-08-01 00:00:00+05:30,0.2858033519150104,0.6391135597981489,0.0224695111113611,0.3644641801714897,0.0433155498858106,0.0079398308068567,0.0,0.0,1.0
2002-08-02 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.2950527766859419,0.3343741943298213,0.2950527766859419,0.3262704312801361,282117,0.0,,0.0089356051041116,0.0396626961611617,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.001221614886637,0.0529073705142826,2002-08-02 00:00:00+05:30,0.3049312132790096,0.6391135597981489,0.0223890391465847,0.3605038613080978,0.0443667335080598,0.0012842780880985,0.0,0.0,1.0
2002-08-05 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3333877751502075,0.3475514352321625,0.3282432347173576,0.3475514352321625,188352,0.0,,0.0652250461941323,0.0429889821681,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.0123176756798496,-0.0315934951894388,2002-08-05 00:00:00+05:30,0.4267285128355413,0.6391135597981489,0.0211082067348446,0.357480739057064,0.0483426549581436,0.0009462739298418,0.0,0.0,1.0
2002-08-06 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3356427782226692,0.3395180712097825,0.3356427782226692,0.3372631072998047,66901,0.0,,-0.0296023174972223,0.0432560292060732,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.0019911776922165,0.0160290468806337,2002-08-06 00:00:00+05:30,0.3872249441440606,0.6391135597981489,0.0196833057723855,0.3539748936891555,0.0471924428958782,0.0005034290464428,0.0,0.0,1.0
2002-08-07 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3481861269195585,0.3520613982288575,0.3378977367104061,0.344662606716156,248255,0.0,,0.0219398423847576,0.0411912531749992,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,0.0059107955041238,-0.0066760215763003,2002-08-07 00:00:00+05:30,0.4245007409475301,0.6391135597981489,0.0193443384103221,0.3522695675492286,0.0487084800465838,0.0052594616283462,0.0,0.0,1.0
2002-08-08 00:00:00+05:30,BAJFINANCE,Bajaj Finance Ltd.,Financials,0.3475514760584269,0.3475514760584269,0.3346556573469399,0.3372631072998047,165812,0.0,,-0.0214688198608243,0.0413761162112224,,,5780268908544,31.541723,22.487597,,5.595169,0.47,29.48,0.153,1102.5,778.44,-0.0147927982845239,0.0017773198536959,2002-08-08 00:00:00+05:30,0.3955904570345174,0.6391135597981489,0.0191326489402153,0.3503246024250984,0.0477799647517504,0.0009466596137488,0.0,0.0,1.0
