symbol,date,article_count,has_timestamp
RELIANCE,2026-04-10,16,16
SBILIFE,2026-04-08,2,2
SBILIFE,2026-04-09,2,2
SBILIFE,2026-04-10,4,4
SBIN,2026-04-01,1,1
SBIN,2026-04-02,1,1
SBIN,2026-04-08,27,27
SBIN,2026-04-09,27,27
SBIN,2026-04-10,48,48
SBIN,2026-04-13,1,1
SUNPHARMA,2026-04-02,3,3
SUNPHARMA,2026-04-03,1,1
TATACONSUM,2026-04-03,1,1
TATAMOTORS,2026-04-03,1,1
TATAMOTORS,2026-04-06,1,1
TATAMOTORS,2026-04-08,2,2
TATAMOTORS,2026-04-09,2,2
TATASTEEL,2026-04-06,1,1
TATASTEEL,2026-04-07,1,1
TCS,2025-11-21,1,1
TCS,2025-12-16,1,1
TCS,2026-01-12,1,1
TCS,2026-01-13,1,1
TCS,2026-03-30,1,1
TCS,2026-04-03,2,2
TCS,2026-04-08,3,3
TCS,2026-04-09,6,6
TCS,2026-04-10,8,8
TECHM,2026-04-03,2,2
TECHM,2026-04-08,1,1
TECHM,2026-04-09,1,1
TECHM,2026-04-10,1,1
WIPRO,2026-04-02,1,1
WIPRO,2026-04-03,2,2
WIPRO,2026-04-07,1,1
WIPRO,2026-04-08,3,3
WIPRO,2026-04-09,2,2
WIPRO,2026-04-10,8,8
