timestamp,ticker,source,sentiment_score,model_confidence
2026-03-15 08:00:00,INFY,Navbharat Times,-0.5021,0.5021
2026-03-15 08:05:00,ICICIBANK,Amar Ujala,-0.5021,0.5021
2026-03-15 08:10:00,BHARTIARTL,Zee Business Hindi,-0.5016,0.5016
